company_id,cluster_name,best_stage,missing_layers,recommended_question
0000035101,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000045193,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000039226,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000030294,C5 家族外銷,C2,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000007070,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000008966,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000004899,C2 大型外商,A,L4/L5,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您目前在評估哪些解決方案或供應商？決策的主要標準是什麼？
0000045792,C4 品牌驅動,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000040650,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000000264,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000025559,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000019903,C5 家族外銷,A,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000043746,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000036569,C1 標準內銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000019233,C1 標準內銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000025400,C5 家族外銷,B,L4/L6,請問目前有哪些外部環境或法規壓力影響您的決策方向？ / 您對現有方向的態度與溫度如何？有什麼近期的觸發事件嗎？
0000026842,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015630,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000014679,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000015141,C5 家族外銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000034093,C1 標準內銷,B,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
0000029323,C5 家族外銷,A,L4,請問目前有哪些外部環境或法規壓力影響您的決策方向？
