conversion_path,count,percentage
C1 【C1成交】,4614,21.33
B 【B成交】,3725,17.22
A 【A成交】,3572,16.51
D 【D成交】,688,3.18
C1 → B 【B成交】,625,2.89
C1 → A 【A成交】,602,2.78
A → B 【B成交】,593,2.74
E 【E成交】,470,2.17
B → A 【A成交】,430,1.99
B → C1 【C1成交】,429,1.98
C2 【C2成交】,422,1.95
A → C1 【C1成交】,356,1.65
C1 → B → C1 【C1成交】,179,0.83
B → C1 → B 【B成交】,142,0.66
C1 → A → C1 【C1成交】,116,0.54
A → B → A 【A成交】,115,0.53
C1 → D 【D成交】,112,0.52
C1 → B → A 【A成交】,111,0.51
B → C1 → A 【A成交】,96,0.44
A → B → C1 【C1成交】,96,0.44
D → A 【A成交】,89,0.41
E → C1 【C1成交】,86,0.4
D → B 【B成交】,85,0.39
A → C1 → B 【B成交】,83,0.38
A → C1 → A 【A成交】,78,0.36
C1 → E 【E成交】,78,0.36
B → A → B 【B成交】,77,0.36
B → C2 【C2成交】,77,0.36
C1 → C2 【C2成交】,70,0.32
B → D 【D成交】,68,0.31
C2 → C1 【C1成交】,63,0.29
D → C1 【C1成交】,60,0.28
A → E 【E成交】,52,0.24
E → B 【B成交】,52,0.24
C2 → A 【A成交】,51,0.24
B → E 【E成交】,50,0.23
D → C1 → B 【B成交】,49,0.23
C1 → A → B 【B成交】,49,0.23
A → D 【D成交】,43,0.2
A → C2 【C2成交】,41,0.19
E → A 【A成交】,40,0.18
C2 → B 【B成交】,38,0.18
B → A → C1 【C1成交】,29,0.13
B → A → C1 → B 【B成交】,28,0.13
C1 → D → C2 → A → C1 【C1成交】,27,0.12
C1 → E → B → C1 【C1成交】,27,0.12
C1 → B → A → B 【B成交】,27,0.12
C1 → C2 → C1 【C1成交】,26,0.12
C1 → A → C1 → B → A 【A成交】,25,0.12
A → C2 → A 【A成交】,25,0.12
B → E → A 【A成交】,24,0.11
C1 → A → C1 → B → A → B 【B成交】,23,0.11
C1 → A → B → A → B 【B成交】,22,0.1
D → A → B 【B成交】,22,0.1
E → A → B → A 【A成交】,22,0.1
A → B → A → C1 【C1成交】,21,0.1
B → C1 → A → B 【B成交】,21,0.1
A → B → D → B 【B成交】,21,0.1
A → B → C1 → B → C1 【C1成交】,20,0.09
C1 → A → E 【E成交】,20,0.09
D → A → B → A 【A成交】,19,0.09
C1 → A → C1 → B 【B成交】,19,0.09
C2 → D 【D成交】,19,0.09
B → D → C1 → B 【B成交】,19,0.09
A → C1 → D → B → C1 → C2 【C2成交】,18,0.08
E → B 【E成交】,17,0.08
B → C1 【B成交】,17,0.08
C1 → B → C1 → B 【B成交】,17,0.08
B → C1 → D → C1 → B 【B成交】,17,0.08
C1 → B → C1 → D 【D成交】,17,0.08
C1 → B → D 【D成交】,16,0.07
C1 → E → C2 → B 【B成交】,16,0.07
C1 → A → B → C1 【C1成交】,16,0.07
C1 → D → B 【B成交】,16,0.07
E → D 【D成交】,16,0.07
C1 → D → C1 【C1成交】,16,0.07
B → C2 → C1 → B 【B成交】,15,0.07
B → A → C1 → A 【A成交】,15,0.07
A → C1 → E → C1 → A 【A成交】,15,0.07
C1 → A → C2 【C2成交】,15,0.07
C2 → A → C1 【C1成交】,15,0.07
B → A → B → C1 【C1成交】,14,0.06
A → B 【A成交】,14,0.06
C1 → A → E → B → A → C1 【C1成交】,14,0.06
B → E → C1 【C1成交】,14,0.06
A → C1 → D 【D成交】,14,0.06
B → A → C1 → B → C2 【C2成交】,14,0.06
B → C1 → B → C1 【C1成交】,14,0.06
C1 → E → B 【B成交】,13,0.06
C1 → A → D 【D成交】,13,0.06
B → C1 → B → C1 → E 【C1成交】,13,0.06
B → C1 → A → C1 【C1成交】,13,0.06
E → C1 → B 【B成交】,12,0.06
B → A → D 【D成交】,12,0.06
A → B → C1 → A → D 【D成交】,12,0.06
B → C1 → E → B 【B成交】,12,0.06
C1 → A → C1 → A 【A成交】,12,0.06
B → C2 → B → A → C1 【C1成交】,12,0.06
A → C1 → E 【E成交】,12,0.06
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A 【A成交】,11,0.05
A → C1 → B → A 【A成交】,11,0.05
E → C1 → C2 【C2成交】,11,0.05
C2 → D 【C2成交】,11,0.05
A → D → A 【A成交】,11,0.05
C1 → A → B → C2 → B 【B成交】,11,0.05
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B → C2 【C2成交】,11,0.05
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A 【A成交】,10,0.05
C1 → A → B → A 【A成交】,10,0.05
A → C1 → B → C1 【C1成交】,10,0.05
A → B → A → C1 → A 【A成交】,10,0.05
B → C1 → A → D 【D成交】,10,0.05
C1 → E → C2 → E → B → E → C1 → A → C2 【C2成交】,10,0.05
A → C1 【A成交】,10,0.05
B → C1 → B → A 【A成交】,10,0.05
A → C2 → C1 【C1成交】,10,0.05
A → D → C1 【C1成交】,10,0.05
E → C1 → A 【A成交】,10,0.05
B → A → B 【A成交】,9,0.04
B → A → C1 → B → C1 → B → C1 → B → C1 【C1成交】,9,0.04
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D → A → D → A 【A成交】,9,0.04
A → D → C1 → B → C1 → B → D → B 【B成交】,9,0.04
B → C2 → A 【A成交】,9,0.04
A → C1 → A → C1 【C1成交】,9,0.04
B → C1 → B → C1 → E 【E成交】,9,0.04
A → B → A → B 【B成交】,9,0.04
B → D 【B成交】,9,0.04
C1 → E → A 【A成交】,9,0.04
C1 → B → C1 → C2 → B → C1 【C1成交】,9,0.04
B → C1 → D 【D成交】,9,0.04
D → B → C1 【C1成交】,9,0.04
B → A → B → E 【E成交】,9,0.04
C1 → A → C1 → E 【E成交】,9,0.04
C1 → B 【C1成交】,9,0.04
C1 → B → A → B → C1 【C1成交】,8,0.04
A → C1 → A → C1 → B → C2 → B 【B成交】,8,0.04
B → E → A → B 【B成交】,8,0.04
C1 → A → B → C1 → A → B 【B成交】,8,0.04
C1 → A → C1 → B → C1 → B → C1 → C2 → B → C1 【C1成交】,8,0.04
C2 → C1 → E 【E成交】,8,0.04
A → B → C2 → C1 【C1成交】,8,0.04
B → A → C1 → B → C2 → C1 → B 【B成交】,8,0.04
C1 → A → C1 → E → B 【B成交】,8,0.04
E → C2 → A → C1 → B 【B成交】,8,0.04
C1 → C2 → A 【A成交】,8,0.04
B → C1 → D → A → C1 → A → B 【B成交】,8,0.04
D → B → E → D 【D成交】,8,0.04
B → C1 → B → A → B 【B成交】,8,0.04
A → B → C1 → A 【A成交】,8,0.04
A → C2 → B → C1 【C1成交】,8,0.04
E → C2 【C2成交】,8,0.04
C1 → A → E → C1 → A → B → A → B → A 【A成交】,8,0.04
C2 → C1 → D 【D成交】,8,0.04
B → C1 → B → C2 → A → B 【B成交】,8,0.04
C1 → D → C2 【C2成交】,8,0.04
B → A 【B成交】,8,0.04
B → C1 → A → C1 → A 【A成交】,8,0.04
C1 → D → A 【A成交】,7,0.03
B → A → C1 → B → C2 → C1 → B 【A成交】,7,0.03
C2 → A → C1 → B 【B成交】,7,0.03
C2 → A → B → A 【A成交】,7,0.03
C2 → A → B 【B成交】,7,0.03
B → A → B → C1 → B → A → C1 → A 【A成交】,7,0.03
D → A 【D成交】,7,0.03
C2 → C1 → B 【B成交】,7,0.03
B → A → B → C1 → A 【A成交】,7,0.03
A → D → C1 → E → A → C1 → B → C1 【C1成交】,7,0.03
C1 → D → E → B 【B成交】,7,0.03
D → E 【E成交】,7,0.03
B → E → B 【B成交】,7,0.03
C1 → B → A → D → A → C1 【C1成交】,7,0.03
B → C1 → A → C2 → D → C1 → A → C1 → E 【E成交】,7,0.03
A → B → D → B → A → B → A → B → A → B → E → B 【B成交】,7,0.03
E → C2 → B → C1 → E 【E成交】,7,0.03
B → A → B → A → B 【B成交】,7,0.03
A → B → C1 → A → C1 → B → C1 → A → D 【D成交】,7,0.03
A → C2 → A → B → C1 【C1成交】,7,0.03
B → A → C2 → C1 【C1成交】,7,0.03
C2 → E → A → B 【B成交】,6,0.03
C2 → C1 → B → E 【E成交】,6,0.03
C1 → A → C1 → B → A → B → D 【D成交】,6,0.03
C1 → B → D → C1 【C1成交】,6,0.03
A → E → C1 → D → A 【A成交】,6,0.03
C1 → D → B → A 【A成交】,6,0.03
A → B → A → B → A → B → C1 → A → C1 【C1成交】,6,0.03
C1 → D 【C1成交】,6,0.03
C1 → C2 → B 【B成交】,6,0.03
B → C1 → B → C2 → C1 【C1成交】,6,0.03
C1 → A → E → C1 → A 【A成交】,6,0.03
A → C2 → E → A 【A成交】,6,0.03
C1 → B → A → C2 → C1 【C1成交】,6,0.03
B → C2 → C1 【C1成交】,6,0.03
C1 → E → C1 【C1成交】,6,0.03
A → B → C1 → B → A 【A成交】,6,0.03
B → A → B → A → B → A 【A成交】,6,0.03
B → D → A 【A成交】,6,0.03
C1 → B → C2 【C2成交】,6,0.03
C1 → D → C2 【D成交】,6,0.03
B → A → C2 【C2成交】,6,0.03
B → C2 → C1 → A → B → A 【A成交】,6,0.03
C1 → C2 → C1 → A 【A成交】,6,0.03
B → C1 → C2 【C2成交】,6,0.03
A → B → D 【D成交】,6,0.03
E → C1 → A → B → C1 【C1成交】,6,0.03
C1 → A → C2 → C1 → B 【B成交】,6,0.03
A → C1 → A → C1 → B → C1 → B → A 【A成交】,6,0.03
B → A → B → C2 → A → C1 → A 【A成交】,6,0.03
C1 → B → A → B → A → B 【B成交】,6,0.03
C1 → B → A → C1 → A 【A成交】,5,0.02
C1 → B → C1 → E → C1 【C1成交】,5,0.02
C1 → D → C1 → B → C1 → B 【B成交】,5,0.02
C1 → B → C1 → B → A → C1 【C1成交】,5,0.02
C1 → A → B → C1 → B → C1 → B 【B成交】,5,0.02
D → C1 → E 【E成交】,5,0.02
A → D → B → C1 【C1成交】,5,0.02
A → D → B → C1 → B 【B成交】,5,0.02
E → B → C1 【C1成交】,5,0.02
C1 → D → A → B 【B成交】,5,0.02
C1 → C2 【C1成交】,5,0.02
A → B → A → C1 → B 【B成交】,5,0.02
E → C1 → C2 → C1 → B → A → C1 【C1成交】,5,0.02
C1 → A → C2 → A 【A成交】,5,0.02
E → B → A 【A成交】,5,0.02
C2 → A → B 【A成交】,5,0.02
B → C1 → A → B → C1 → A 【A成交】,5,0.02
B → C1 → A → B → C1 → A → C1 【C1成交】,5,0.02
A → C1 → A → C1 → B 【B成交】,5,0.02
C2 → E 【E成交】,5,0.02
B → C1 → C2 → B 【B成交】,5,0.02
D → C1 → B → C2 【C2成交】,5,0.02
A → C1 → E → C1 → A → C1 【C1成交】,5,0.02
B → D → C1 【C1成交】,5,0.02
B → C1 → B → C2 → A 【A成交】,5,0.02
A → D → B 【B成交】,5,0.02
B → D → B 【B成交】,5,0.02
A → B → A → E → C1 【C1成交】,5,0.02
D → E → D → C1 → B → C2 → C1 → B → E → A → C1 【C1成交】,5,0.02
B → C1 → D → C1 → B → A → B 【B成交】,5,0.02
A → C1 → A → B 【B成交】,5,0.02
E → B → E 【E成交】,5,0.02
C1 → A → C1 → A → C1 【C1成交】,5,0.02
C2 → B → C1 → A 【A成交】,5,0.02
D → C1 → A 【A成交】,5,0.02
E → D → C1 【C1成交】,5,0.02
C1 → A → C1 → A → C1 → C2 → C1 → A 【A成交】,5,0.02
C2 → C1 → A → E → A → C1 → A → C1 → B 【B成交】,5,0.02
E → A → C1 【C1成交】,5,0.02
C1 → B → A → B → A → C2 → C1 → B → A 【A成交】,5,0.02
B → C1 → A → B → C1 【C1成交】,5,0.02
C1 → B → C1 → B → A 【A成交】,4,0.02
B → C1 → B → C1 → B → C1 【C1成交】,4,0.02
A → C1 → E → B 【B成交】,4,0.02
C1 → A → B → D → A → D → A 【A成交】,4,0.02
A → B → A → B → A → B → C1 → A 【A成交】,4,0.02
C2 → C1 → D 【C1成交】,4,0.02
C1 → A 【C1成交】,4,0.02
C1 → C2 → B → E 【E成交】,4,0.02
B → D → B → C1 → A → C1 → B 【B成交】,4,0.02
C1 → A → E → C1 → A → B → A → B 【B成交】,4,0.02
B → A → C1 → A → C1 → B → C1 【C1成交】,4,0.02
C1 → B → A → D → A → C1 → A → C1 → A 【A成交】,4,0.02
C1 → A → C1 → B → C1 【C1成交】,4,0.02
E → B → A → D → C1 【D成交】,4,0.02
A → B → E → A 【A成交】,4,0.02
C1 → B → C1 【B成交】,4,0.02
D → A → C1 【C1成交】,4,0.02
B → C1 → E 【E成交】,4,0.02
B → C1 → D → B 【B成交】,4,0.02
A → C1 → C2 → A → B 【B成交】,4,0.02
E → C1 → B → A 【A成交】,4,0.02
C1 → E → C1 → A → B 【B成交】,4,0.02
B → A → C2 → B 【B成交】,4,0.02
C2 → C1 → A → E → A → C1 【C1成交】,4,0.02
C2 → B → C1 【C1成交】,4,0.02
B → C1 → B → C1 → B → A → E 【E成交】,4,0.02
D → E → D → C1 【C1成交】,4,0.02
B → D → B → C2 → C1 → B → A 【A成交】,4,0.02
E → A 【E成交】,4,0.02
B → C1 → B → A → C1 → B → D → E 【B成交】,4,0.02
A → C1 → A → B → A → C1 → B → C1 【C1成交】,4,0.02
C1 → B → A → B → A → C2 → C1 → B → A → C1 【C1成交】,4,0.02
C1 → A → D → B → C1 → B → C1 【C1成交】,4,0.02
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A 【A成交】,4,0.02
D → B → C1 → A → B 【B成交】,4,0.02
C1 → B → C2 → A 【A成交】,4,0.02
C1 → E → C2 【E成交】,4,0.02
C2 → C1 → A 【A成交】,4,0.02
B → E → B → C1 → A 【A成交】,4,0.02
B → A → B → A 【A成交】,4,0.02
B → C1 → B → C1 → B 【B成交】,4,0.02
A → C1 → B → A → C1 【C1成交】,3,0.01
E → B → E → C1 【C1成交】,3,0.01
C2 → D → B 【B成交】,3,0.01
C1 → E → B → A 【A成交】,3,0.01
B → C1 → C2 → B 【C2成交】,3,0.01
A → B → C1 → A → C1 → B 【B成交】,3,0.01
C1 → E → C2 → E → B 【C2成交】,3,0.01
B → C1 → B → C2 【C2成交】,3,0.01
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A → B 【B成交】,3,0.01
B → C1 → B 【C1成交】,3,0.01
B → C1 → B → C1 → B → D 【D成交】,3,0.01
B → D → B → C1 【C1成交】,3,0.01
A → C1 → B → A → B 【B成交】,3,0.01
C1 → C2 → C1 → A → C1 → A → B 【B成交】,3,0.01
A → B → D → C1 → B → A → B → D → A → D → C1 → A 【A成交】,3,0.01
B → C1 → C2 → C1 【C1成交】,3,0.01
C1 → A → B → C1 → A 【A成交】,3,0.01
D → C1 【D成交】,3,0.01
C1 → B → C1 → A 【A成交】,3,0.01
C1 → C2 → D → C2 【C2成交】,3,0.01
C2 → A → D → C1 【C1成交】,3,0.01
A → C1 → E → C1 【C1成交】,3,0.01
C2 → A → D → C1 【D成交】,3,0.01
C1 → D → B → C1 【C1成交】,3,0.01
A → D → C1 → B → C1 → B 【B成交】,3,0.01
C1 → B → A → B → A → C2 → C1 → B → A → C1 → A → C1 【C1成交】,3,0.01
C1 → A → C2 → C1 【C1成交】,3,0.01
A → C1 → A → C1 → B → A → B 【B成交】,3,0.01
C1 → E → C1 → E 【E成交】,3,0.01
E → C1 → E → C1 【C1成交】,3,0.01
B → A → B → C1 → B → A → C1 → A → D 【D成交】,3,0.01
C1 → B → C1 → E → C1 【E成交】,3,0.01
D → A → E 【E成交】,3,0.01
A → C1 → A → C1 → A → B 【B成交】,3,0.01
C1 → D → C1 → A → B 【B成交】,3,0.01
A → C1 → B → C2 → C1 → A → B 【B成交】,3,0.01
A → E → A → B → C1 【C1成交】,3,0.01
C1 → A → C1 → B → C1 → B 【B成交】,3,0.01
B → C1 → A → B → C1 → A → C1 → D 【D成交】,3,0.01
C1 → A → C1 → A → C1 → B 【B成交】,3,0.01
D → B → C1 → B 【B成交】,3,0.01
C1 → A → E → B 【B成交】,3,0.01
C1 → A → C1 → A → B 【B成交】,3,0.01
B → E → B → C1 【C1成交】,3,0.01
A → C1 → C2 【C2成交】,3,0.01
A → C1 → C2 → A 【A成交】,3,0.01
A → D → C1 → E 【E成交】,3,0.01
A → D → A → C1 【C1成交】,3,0.01
C1 → A → B → A → B → A → B → D 【D成交】,3,0.01
C1 → A → C1 【A成交】,3,0.01
B → C1 → A → C1 → B → C2 【C2成交】,3,0.01
A → B → C1 → B → D → B 【B成交】,3,0.01
B → C2 → B → A 【A成交】,3,0.01
B → C1 → A → C1 → B 【B成交】,3,0.01
B → C1 → B → A → C1 → B → D → E → A → C1 → A 【A成交】,3,0.01
E → C1 → A → B → A 【A成交】,3,0.01
B → A → C1 → B → C1 → B → C1 → B → C1 → D → C1 → C2 【C2成交】,2,0.01
C2 → D → B → A 【A成交】,2,0.01
E → B → E → C1 → A 【A成交】,2,0.01
C2 → C1 【C2成交】,2,0.01
B → C1 → B → C1 → B 【C1成交】,2,0.01
A → C1 → E → A → C1 【C1成交】,2,0.01
C1 → B → C1 → C2 → B 【B成交】,2,0.01
B → C1 → B → C1 → B → D → A → E → A 【A成交】,2,0.01
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B 【A成交】,2,0.01
B → C1 → B → C2 【B成交】,2,0.01
A → C1 → B → C1 → B → A → B → C1 → B → C1 【C1成交】,2,0.01
A → B → C1 → D 【D成交】,2,0.01
A → C1 → A → C1 → B → C2 → B → A 【A成交】,2,0.01
A → C2 【A成交】,2,0.01
A → D → A 【D成交】,2,0.01
A → C1 → A → B → C2 【C2成交】,2,0.01
C2 → C1 → B → D → C1 【C1成交】,2,0.01
A → B → A → C1 → C2 → B → D → A 【A成交】,2,0.01
C2 → B → C1 → D 【D成交】,2,0.01
C2 → E → C1 → A → C1 【C1成交】,2,0.01
B → C1 → A → C1 → A 【C1成交】,2,0.01
D → E → D → C1 → B → C2 → C1 → B → E → A 【A成交】,2,0.01
C1 → B → E → C1 【C1成交】,2,0.01
C1 → E → D 【D成交】,2,0.01
A → B → A → C1 → B → C1 → D 【D成交】,2,0.01
A → B → A → C1 → B → C1 【C1成交】,2,0.01
B → E 【B成交】,2,0.01
B → C1 → B → C1 → B → A 【A成交】,2,0.01
E → B → C1 → A 【A成交】,2,0.01
E → C1 → C2 → B → C1 → B 【B成交】,2,0.01
B → A → B → C1 → B → A → C1 【C1成交】,2,0.01
C1 → D → B → C1 → B → C1 → D → C1 → B 【B成交】,2,0.01
A → B → A → C1 → B → C1 → D → B 【B成交】,2,0.01
C1 → B → A → B → A → C2 → C1 → B 【B成交】,2,0.01
E → B → C1 → A → B → C1 【C1成交】,2,0.01
C1 → A → B → A → B → A 【A成交】,2,0.01
D → C1 → B → C1 【C1成交】,2,0.01
B → C1 → A → C2 【C2成交】,2,0.01
C1 → C2 → C1 → A → C1 【C1成交】,2,0.01
D → A → C1 → A 【A成交】,2,0.01
D → A → C1 → A → D 【D成交】,2,0.01
C1 → B → E 【E成交】,2,0.01
A → C2 → C1 → A 【A成交】,2,0.01
A → C1 → A → C2 → C1 【C1成交】,2,0.01
B → A → C2 → D → C1 → A → C1 【C1成交】,2,0.01
C1 → B → A → D → A 【A成交】,2,0.01
C1 → A → E → A → B → C1 【C1成交】,2,0.01
C1 → D → C1 → A 【A成交】,2,0.01
C1 → A → E → C1 → A → B → A 【A成交】,2,0.01
B → A → B → A → C1 → A → C2 → C1 【C1成交】,2,0.01
A → B → A → C1 → C2 → B → D 【D成交】,2,0.01
C1 → A → E → A 【A成交】,2,0.01
A → B → A → C1 → C2 【C2成交】,2,0.01
C1 → B → C1 → A → B → A 【A成交】,2,0.01
A → B → C1 → B → A 【B成交】,2,0.01
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1 【C1成交】,2,0.01
B → A → C2 → D → C1 → A 【A成交】,2,0.01
A → C2 → E 【E成交】,2,0.01
A → B → A → B → C1 → A 【A成交】,2,0.01
E → A → B 【B成交】,2,0.01
C1 → A → B → C1 → B 【B成交】,2,0.01
B → C1 → D → C1 → D → C1 → A → B → D 【D成交】,2,0.01
B → C1 → D → C1 → D → C1 → A → B 【B成交】,2,0.01
B → C1 → D → C1 → D → C1 【C1成交】,2,0.01
B → C1 → D → C1 → D 【D成交】,2,0.01
B → A → B → C1 【B成交】,2,0.01
C1 → A → B → C1 → B → A → B 【B成交】,2,0.01
A → C1 → D → C1 【C1成交】,2,0.01
B → A → E 【E成交】,2,0.01
C1 → E → B 【E成交】,2,0.01
C1 → E → C1 → B 【B成交】,2,0.01
B → C1 → C2 → C1 → B 【B成交】,2,0.01
A → C2 → B 【B成交】,2,0.01
B → A → B → D → A 【A成交】,2,0.01
C1 → D → C1 → D → C1 → C2 → B 【B成交】,2,0.01
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A 【A成交】,2,0.01
B → C1 → B → A → C1 → B → D → E → A 【A成交】,2,0.01
C1 → A → B → A → B → A → B → D → C1 【C1成交】,2,0.01
D → B → C1 【B成交】,2,0.01
A → B → D → B → A → B → A → B → A → B 【B成交】,2,0.01
C1 → A → B → A → C1 【C1成交】,2,0.01
E → A → C2 → C1 → B 【B成交】,2,0.01
C1 → B → C1 → C2 【C2成交】,2,0.01
C1 → D → E 【E成交】,2,0.01
B → A → C1 → B → E → B 【B成交】,2,0.01
B → D → B → C1 → A → C1 → B → C1 → A 【A成交】,2,0.01
