company_id,cluster_name,best_stage,stage_heat,pain_type,impact,urgency
0000021162,C0 微型內銷,A,6,,,
0000000031,C1 標準內銷,A,6,派班中心問題,None,None
0000000104,C1 標準內銷,A,6,,,
0000000249,C1 標準內銷,A,6,客戶需求不明確/決策者難以接觸/產品功能不足,業務推進受阻/客戶滿意度,中
0000002882,C1 標準內銷,A,6,已採用競品,失去潛在商機,低
0000003676,C1 標準內銷,A,6,"預算限制, 時間衝突, 客戶立案問題, 系統版更問題","新產品導入延遲, 活動參與受阻, 客戶滿意度, 業務流程受阻, 系統功能",高
0000004220,C1 標準內銷,A,6,,,
0000004772,C1 標準內銷,A,6,總經理行程衝突/休假,研討會邀約失敗,中
0000005693,C1 標準內銷,A,6,"溝通障礙, 內部決策緩慢","專案進度, 銷售機會",高
0000005944,C1 標準內銷,A,6,憑證問題,系統運作,高
0000006085,C1 標準內銷,A,6,成本結算流程問題,成本結算流程效率,中
0000006921,C1 標準內銷,A,6,"系統/硬體老舊, 缺工壓力, 資安風險","生產效率低落, 人員負擔重, 業務中斷風險, 資料遺失風險, 系統效能, 資安問題",高
0000007795,C1 標準內銷,A,6,"潛在客戶迴避/拒絕溝通, 關鍵決策人不在, 拖延溝通","銷售進程受阻, 資訊獲取困難",高
0000008966,C1 標準內銷,A,6,ERP系統問題 (資料遺失/憑證刪除),系統無法啟用/運作,高
0000009507,C1 標準內銷,A,6,客戶溝通阻礙,銷售與專案進度延遲,中
0000011168,C1 標準內銷,A,6,股東健康問題導致資金壓力,增資與自動手臂專案暫緩,高
0000012387,C1 標準內銷,A,6,決策者不在/客製化需求,合約簽署延遲/資源評估,中
0000012711,C1 標準內銷,A,6,客戶審核時間不足,簽約進度,中
0000012771,C1 標準內銷,A,6,"時間不足, ERP使用不深入, ERP問題少","研討會參與, ERP續約",高
0000012921,C1 標準內銷,A,6,"費用預算限制, 內部問題不明確, 暫無需求","升版計畫延遲, 開帳時間延後, 問題解決受阻, 專案終止/延後",高
0000015219,C1 標準內銷,A,6,競品導入/已滿足需求,銷售受阻,低
0000017426,C1 標準內銷,A,6,"系統功能缺口, 流程串接不完整, 專案管理效率低落, 客訴處理","電子化效益, 專案進度, 客戶滿意度",高
0000019222,C1 標準內銷,A,6,"現有系統限制/不符需求, 資訊不透明/客戶抗拒拜訪","潛在商機延遲, 銷售流程受阻",中
0000019233,C1 標準內銷,A,6,"內部部門動作緩慢, 窗口不熟悉狀況, 客製帳款未付導致收回風險, 付款條件談判, 範疇確認困難, 關鍵人物時間難喬, 項目退訂, 贈送服務要求, 費用與範疇不明確","專案進度延遲, 顧問協助需求, 客製服務中斷, 報價與合約條件受影響, 專案討論延遲, 決策者缺席, 報價調整, 成本控制, 專案範圍變動",中
0000024448,C1 標準內銷,A,6,採購需求,None,None
0000024910,C1 標準內銷,A,6,客戶已有業務持續經營; 客戶不信賴電腦/怕電腦壞掉; 客戶認為公司小不需要複雜功能; 客戶使用現有系統覺得還好,新客戶開發; 系統導入; 數位轉型; 業務成長; 客戶關係管理,低
0000025097,C1 標準內銷,A,6,研發圖檔電子簽核與版本版次記錄需求未被滿足,研發部門作業效率與文件管理,中
0000025274,C1 標準內銷,A,6,人員依賴/溝通阻礙,資訊獲取延遲,中
0000027011,C1 標準內銷,A,6,"關稅衝擊, 投資計劃暫停, 訂單減少, 數位化重視低, 缺乏領導者, 董事長參與意願低, 業績不佳, 產業衝擊, 疫情導致計畫延期","投資計劃, 業務發展, 訂單, 數位轉型, 內部效率, 高層參與, 業績, 產業景氣, 專案進度",高
0000027366,C1 標準內銷,A,6,"內部決策延遲, 外部條件依賴, 無法聯繫","銷售進程受阻, 拜訪困難",中
0000027387,C1 標準內銷,A,6,主機故障,服務中斷,高
0000029327,C1 標準內銷,A,6,"競爭者報價偏低, 競爭者系統無法整合, 客戶決策者不在, 競爭者評估中","商機流失風險, 決策延遲",高
0000029385,C1 標準內銷,A,6,執行力問題,系統效益未發揮,高
0000029397,C1 標準內銷,A,6,系統選型困難; 支付條款調整,業務機會; 簽約進度; 供應商關係,高
0000029391,C1 標準內銷,A,6,"競爭者報價, 建照時程壓力, 系統串接問題","影響報價競爭力, 影響專案時程, 影響AI方案導入",高
0000030406,C1 標準內銷,A,6,"ERP系統問題導致派班中心異常, ERP錯誤訊息導致辦公軟體關閉","培珊的辦公效率, 派班中心運作, 傳票拋轉",高
0000031730,C1 標準內銷,A,6,帳款支付問題/客戶服務問題,財務/客戶關係/專案進度,高
0000032647,C1 標準內銷,A,6,"硬體問題, 主機損壞, 維修費用爭議, 客戶關係緊張","維護合約續約困難, 客戶滿意度下降",高
0000034181,C1 標準內銷,A,6,"人員異動, 結帳效率問題","專案進度, 內部效率",高
0000035110,C1 標準內銷,A,6,系統使用問題,影響系統正常運作及業務流程,高
0000035212,C1 標準內銷,A,6,客戶不願直接提供窗口資料,溝通效率降低，銷售流程受阻,中
0000035687,C1 標準內銷,A,6,內部資源不足 (時間),潛在效益未實現,中
0000036432,C1 標準內銷,A,6,"系統效能問題, 客服響應慢, 系統問題","工作效率, 客戶滿意度",高
0000038681,C1 標準內銷,A,6,客戶方人員不在,"合約確認延遲,問題處理延遲",中
0000039882,C1 標準內銷,A,6,"內部討論停滯, 老闆對AI應用無想法, 客戶忙碌/盤點","專案進度停滯, 新技術導入受阻, 活動參與度低",高
0000040178,C1 標準內銷,A,6,"建檔問題, 缺乏變革動力, 現有作業簡單","內部資源耗用, 客戶無感",低
0000040673,C1 標準內銷,A,6,客戶不續簽意願,合約續簽與營收,高
0000041280,C1 標準內銷,A,6,系統操作問題/合約問題,客戶服務/系統使用,中
0000041681,C1 標準內銷,A,6,效率慢的問題,EC跟ERP系統,中
0000043877,C1 標準內銷,A,6,專案分期，第一期已被他廠佔用,合作範圍受限（僅限第二期財務），專案進度延遲,中
0000045040,C1 標準內銷,A,6,ERP版更問題,營運,高
0000045905,C1 標準內銷,A,6,"客戶資金問題, 內部事務繁忙","無法付款裝機, 審約延遲",中
