company_id,cluster_name,best_stage,pain_type,跟進日期,跟進人員,本週行動,當前狀態,是否成交,成交金額,備註
21162,C0 微型內銷,A,,,,,A,,,
31,C1 標準內銷,A,派班中心問題,,,,A,,,
104,C1 標準內銷,A,,,,,A,,,
249,C1 標準內銷,A,客戶需求不明確/決策者難以接觸/產品功能不足,,,,A,,,
2882,C1 標準內銷,A,已採用競品,,,,A,,,
3676,C1 標準內銷,A,"預算限制, 時間衝突, 客戶立案問題, 系統版更問題",,,,A,,,
4220,C1 標準內銷,A,,,,,A,,,
4772,C1 標準內銷,A,總經理行程衝突/休假,,,,A,,,
5693,C1 標準內銷,A,"溝通障礙, 內部決策緩慢",,,,A,,,
5944,C1 標準內銷,A,憑證問題,,,,A,,,
6085,C1 標準內銷,A,成本結算流程問題,,,,A,,,
6921,C1 標準內銷,A,"系統/硬體老舊, 缺工壓力, 資安風險",,,,A,,,
7795,C1 標準內銷,A,"潛在客戶迴避/拒絕溝通, 關鍵決策人不在, 拖延溝通",,,,A,,,
8966,C1 標準內銷,A,ERP系統問題 (資料遺失/憑證刪除),,,,A,,,
9507,C1 標準內銷,A,客戶溝通阻礙,,,,A,,,
11168,C1 標準內銷,A,股東健康問題導致資金壓力,,,,A,,,
12387,C1 標準內銷,A,決策者不在/客製化需求,,,,A,,,
12711,C1 標準內銷,A,客戶審核時間不足,,,,A,,,
12771,C1 標準內銷,A,"時間不足, ERP使用不深入, ERP問題少",,,,A,,,
12921,C1 標準內銷,A,"費用預算限制, 內部問題不明確, 暫無需求",,,,A,,,
15219,C1 標準內銷,A,競品導入/已滿足需求,,,,A,,,
17426,C1 標準內銷,A,"系統功能缺口, 流程串接不完整, 專案管理效率低落, 客訴處理",,,,A,,,
19222,C1 標準內銷,A,"現有系統限制/不符需求, 資訊不透明/客戶抗拒拜訪",,,,A,,,
19233,C1 標準內銷,A,"內部部門動作緩慢, 窗口不熟悉狀況, 客製帳款未付導致收回風險, 付款條件談判, 範疇確認困難, 關鍵人物時間難喬, 項目退訂, 贈送服務要求, 費用與範疇不明確",,,,A,,,
24448,C1 標準內銷,A,採購需求,,,,A,,,
24910,C1 標準內銷,A,客戶已有業務持續經營; 客戶不信賴電腦/怕電腦壞掉; 客戶認為公司小不需要複雜功能; 客戶使用現有系統覺得還好,,,,A,,,
25097,C1 標準內銷,A,研發圖檔電子簽核與版本版次記錄需求未被滿足,,,,A,,,
25274,C1 標準內銷,A,人員依賴/溝通阻礙,,,,A,,,
27011,C1 標準內銷,A,"關稅衝擊, 投資計劃暫停, 訂單減少, 數位化重視低, 缺乏領導者, 董事長參與意願低, 業績不佳, 產業衝擊, 疫情導致計畫延期",,,,A,,,
27366,C1 標準內銷,A,"內部決策延遲, 外部條件依賴, 無法聯繫",,,,A,,,
27387,C1 標準內銷,A,主機故障,,,,A,,,
29327,C1 標準內銷,A,"競爭者報價偏低, 競爭者系統無法整合, 客戶決策者不在, 競爭者評估中",,,,A,,,
29385,C1 標準內銷,A,執行力問題,,,,A,,,
29397,C1 標準內銷,A,系統選型困難; 支付條款調整,,,,A,,,
29391,C1 標準內銷,A,"競爭者報價, 建照時程壓力, 系統串接問題",,,,A,,,
30406,C1 標準內銷,A,"ERP系統問題導致派班中心異常, ERP錯誤訊息導致辦公軟體關閉",,,,A,,,
31730,C1 標準內銷,A,帳款支付問題/客戶服務問題,,,,A,,,
32647,C1 標準內銷,A,"硬體問題, 主機損壞, 維修費用爭議, 客戶關係緊張",,,,A,,,
34181,C1 標準內銷,A,"人員異動, 結帳效率問題",,,,A,,,
35110,C1 標準內銷,A,系統使用問題,,,,A,,,
35212,C1 標準內銷,A,客戶不願直接提供窗口資料,,,,A,,,
35687,C1 標準內銷,A,內部資源不足 (時間),,,,A,,,
36432,C1 標準內銷,A,"系統效能問題, 客服響應慢, 系統問題",,,,A,,,
38681,C1 標準內銷,A,客戶方人員不在,,,,A,,,
39882,C1 標準內銷,A,"內部討論停滯, 老闆對AI應用無想法, 客戶忙碌/盤點",,,,A,,,
40178,C1 標準內銷,A,"建檔問題, 缺乏變革動力, 現有作業簡單",,,,A,,,
40673,C1 標準內銷,A,客戶不續簽意願,,,,A,,,
41280,C1 標準內銷,A,系統操作問題/合約問題,,,,A,,,
41681,C1 標準內銷,A,效率慢的問題,,,,A,,,
43877,C1 標準內銷,A,專案分期，第一期已被他廠佔用,,,,A,,,
