cluster_name,pain_type,company_count,ba_ratio,urgency_high_pct,avg_stage_heat,heat_score
C5 家族外銷,"人員異動問題, 內部流程與預期落差, 關鍵決策者不在",1,2.0,0.0,6.0,1.011821206523796
C5 家族外銷,"人力吃緊, 舊系統問題, 內部溝通問題, 競爭者威脅, 導入進度緩慢",1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,老闆朋友寫的客製化系統，使用20年，無導入新系統意願,1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,執行力問題,1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,聯繫困難; 人員流動率高導致專案斷裂; 技術資料整理困難; 決策權不明確,1,1.0,0.0,5.0,0.5118212065237959
C5 家族外銷,"聯繫障礙, 客戶現狀滿意, 關鍵決策人不在",1,1.0,0.0,5.0,0.5118212065237959
C5 家族外銷,"自行開發/無需求, 客戶拒絕, 時間不便",1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,老闆評估、內部流程不清、已有系統且近期更換,1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,"合約簽回延遲, 發票開立延遲, 論述覆蓋不足",1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,"設備故障, 服務態度問題, 溝通障礙, 系統不穩定",1,1.0,0.0,6.0,0.5118212065237959
C1 標準內銷,"潛在客戶迴避/拒絕溝通, 關鍵決策人不在, 拖延溝通",1,1.0,0.0,6.0,0.5118212065237959
C1 標準內銷,"功能缺失, 預算限制, 產品不適用",1,1.0,0.0,6.0,0.5118212065237959
C6 外資貿易,產品/服務不符需求或規範不適用,1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,財務系統綁定會計師，電子表單簽核頻率不高；系統汰換評估暫緩，兩套系統串連整合需求；公司忙碌，系統資訊未內部討論，專案管理不符合點不明確。,1,1.0,0.0,5.0,0.5118212065237959
C5 家族外銷,"資料不足, 系統異常",1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,客戶需求不明確/決策者難以接觸/產品功能不足,1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,"資料抓取困難, 政府補助申請受挫",1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,資訊不足,1,1.0,0.0,5.0,0.5118212065237959
C6 外資貿易,"系統限制 (SAP無法更換), 流程效率低 (電子簽核), 缺乏認證 (ISO), 人力不足",1,1.0,0.0,5.0,0.5118212065237959
C1 標準內銷,IT基礎設施與系統規劃問題,1,1.0,0.0,5.0,0.5118212065237959
C5 家族外銷,"關鍵決策者聯繫困難, 過去導入經驗不佳",1,1.0,0.0,5.0,0.5118212065237959
C5 家族外銷,居家辦公導致簽約延遲; 聯絡資訊失效; 業務窗口異動,1,1.0,0.0,6.0,0.5118212065237959
C5 家族外銷,電商平台整合問題,1,1.0,0.0,5.0,0.5118212065237959
