stage_path,count,percentage
C1,677,19.18
A,571,16.18
B,543,15.39
D,102,2.89
C1 → B,101,2.86
C1 → A,99,2.81
B → C1,85,2.41
B → A,85,2.41
E,82,2.32
A → C1,80,2.27
A → B,67,1.9
C2,66,1.87
C1 → B → C1,27,0.77
C1 → D,26,0.74
C1 → A → C1,24,0.68
C2 → C1,21,0.6
B → C1 → B,20,0.57
A → B → A,18,0.51
A → E,17,0.48
D → A,16,0.45
D → B,16,0.45
E → C1,16,0.45
C1 → B → A,16,0.45
B → C1 → A,15,0.43
C1 → C2,14,0.4
B → A → B,14,0.4
A → C1 → B,14,0.4
D → C1,14,0.4
A → C1 → A,13,0.37
B → A → C1,13,0.37
B → D,12,0.34
B → C2,12,0.34
A → C2,11,0.31
A → B → C1,11,0.31
C1 → E,11,0.31
C2 → B,11,0.31
C2 → A,10,0.28
E → A,10,0.28
C1 → A → B,9,0.26
E → B,9,0.26
A → D,8,0.23
B → E,8,0.23
B → E → A,6,0.17
D → C1 → B,6,0.17
C1 → A → D,6,0.17
C1 → D → C1,5,0.14
B → C1 → A → B,5,0.14
A → D → A,5,0.14
A → C1 → D,5,0.14
C1 → D → B,5,0.14
C1 → B → C1 → B,5,0.14
B → A → C1 → A,5,0.14
E → C1 → A,5,0.14
A → C2 → A,4,0.11
A → C1 → B → C1,4,0.11
C1 → A → C1 → A,4,0.11
A → C1 → E,4,0.11
B → C1 → D,4,0.11
C1 → C2 → C1,4,0.11
C1 → E → A,4,0.11
A → C1 → B → A,4,0.11
B → E → B,4,0.11
C2 → A → C1,4,0.11
A → D → C1,3,0.09
B → C2 → C1,3,0.09
C1 → A → C1 → B → A,3,0.09
C1 → C2 → B,3,0.09
B → C1 → B → A,3,0.09
A → C1 → A → C1,3,0.09
C1 → A → B → C1,3,0.09
B → A → B → C1,3,0.09
D → C1 → A,3,0.09
C1 → C2 → A,3,0.09
C1 → B → A → B,3,0.09
C1 → A → C1 → B,3,0.09
D → A → B,3,0.09
C2 → D,3,0.09
D → E,2,0.06
B → A → B → E,2,0.06
B → A → B → A → B,2,0.06
C1 → B → C2,2,0.06
A → C2 → C1,2,0.06
C1 → E → B → A,2,0.06
A → E → C1,2,0.06
D → B → C1,2,0.06
C1 → E → C1 → A → B,2,0.06
C1 → E → C1,2,0.06
C2 → A → B → A → B,2,0.06
B → E → C1,2,0.06
C1 → A → C1 → B → A → B,2,0.06
C1 → B → C1 → D,2,0.06
C1 → B → C1 → A,2,0.06
C1 → B → A → B → C1,2,0.06
C1 → A → E,2,0.06
B → C1 → B → A → B,2,0.06
B → C1 → E → B,2,0.06
B → C1 → B → C1,2,0.06
C1 → D → E → B,2,0.06
C1 → B → E,2,0.06
B → D → A,2,0.06
A → C2 → B → C1,2,0.06
C1 → B → A → C1 → A,2,0.06
B → C1 → C2 → B,2,0.06
A → B → D → B,2,0.06
E → B → A,2,0.06
A → C1 → A → B,2,0.06
C2 → A → B,2,0.06
C1 → E → D,2,0.06
A → B → A → C1 → A,2,0.06
B → A → B → C1 → D,2,0.06
A → B → C1 → B → C1,2,0.06
E → D,2,0.06
A → B → C1 → A,2,0.06
B → A → D,2,0.06
A → B → A → B,2,0.06
A → C1 → D → C1,2,0.06
B → D → C1,2,0.06
D → C2,2,0.06
C1 → D → A,2,0.06
B → A → C2,2,0.06
A → D → B,2,0.06
C2 → C1 → D,2,0.06
B → C1 → A → C1 → A,2,0.06
B → E → B → C1 → A,1,0.03
E → C1 → C2,1,0.03
A → C1 → D → C2 → C1 → B,1,0.03
C1 → B → C1 → D → B,1,0.03
B → C1 → D → A → C1 → A → B,1,0.03
B → C1 → B → C1 → B,1,0.03
A → C1 → E → A → C1,1,0.03
C1 → B → A → B → A → B → A,1,0.03
A → C1 → A → B → C1 → A → C1,1,0.03
B → A → C2 → C1,1,0.03
B → A → C1 → B → C2 → D,1,0.03
B → A → B → C1 → A,1,0.03
C1 → A → B → A → B → A → B → A,1,0.03
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B → C2,1,0.03
C1 → B → C1 → C2 → B → C1,1,0.03
C2 → E → A → B,1,0.03
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A → B,1,0.03
C2 → C1 → A,1,0.03
C2 → C1 → A → E → A → C1 → A → C1 → B → C1,1,0.03
C1 → B → A → C2,1,0.03
C1 → B → C1 → A → B → A,1,0.03
C1 → E → B → A → E,1,0.03
A → B → D → C1 → B → A → B → D → A → D → C1 → A → C1 → A,1,0.03
C1 → A → C2 → A,1,0.03
C1 → D → C1 → A → B,1,0.03
C1 → B → C1 → E,1,0.03
D → B → C1 → A → B,1,0.03
B → E → A → B,1,0.03
C2 → B → C1 → D,1,0.03
C2 → C1 → B → D → C1,1,0.03
B → C1 → E,1,0.03
E → D → C1 → A,1,0.03
C1 → A → C1 → A → C1 → C2 → C1 → A → B → A,1,0.03
C1 → B → A → B → A,1,0.03
C1 → C2 → A → B → C1 → B → C1 → A,1,0.03
B → C1 → D → B → A,1,0.03
B → C1 → A → C2 → D → C1 → A → C1 → E,1,0.03
C1 → D → B → A → B → D → C1,1,0.03
C1 → E → A → D,1,0.03
A → C2 → A → B → C1 → A → B → A,1,0.03
C1 → E → B → A → C2 → E → B,1,0.03
C1 → D → E,1,0.03
B → C1 → B → C1 → B → C1,1,0.03
C1 → B → C1 → B → A → C1 → C2 → C1 → A,1,0.03
C1 → B → A → D → A → C1 → A → C1 → A → C1,1,0.03
E → B → A → D → C1,1,0.03
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D → A → D → A,1,0.03
C2 → B → C1 → A,1,0.03
B → C2 → C1 → A → B → A,1,0.03
C1 → A → E → C1 → A → B → A → B → A,1,0.03
E → C2 → B → C1 → E,1,0.03
B → A → C1 → A → C1 → B → C1,1,0.03
B → C1 → A → C1 → B → C2,1,0.03
C1 → D → C1 → B → C1 → B,1,0.03
C2 → B → C1 → B,1,0.03
C1 → A → B → C2 → B → C1,1,0.03
C1 → A → B → D → A → D → A,1,0.03
E → A → D,1,0.03
A → B → A → E → C1,1,0.03
B → D → B → C1,1,0.03
C1 → C2 → C1 → A → C1,1,0.03
C1 → B → C1 → A → D → C1,1,0.03
B → C1 → D → C1 → D → C1 → A → B → D,1,0.03
C1 → E → C1 → C2 → B,1,0.03
B → C2 → B → A → C2 → B → C1 → B → C1 → B,1,0.03
A → C1 → E → C1 → A → C1,1,0.03
C1 → A → B → C1 → D → C1,1,0.03
D → E → D → C1 → B → C2 → C1 → B → E → A → C1,1,0.03
B → C1 → D → C1 → B → A → B → C1,1,0.03
B → C1 → A → B → C1,1,0.03
C1 → A → E → A → B → C1 → A → C1,1,0.03
C1 → E → B,1,0.03
B → A → C1 → B,1,0.03
C1 → A → C1 → B → C1 → A → B,1,0.03
B → D → B,1,0.03
C1 → E → C2 → B,1,0.03
C1 → D → C2,1,0.03
C1 → B → C2 → A → B,1,0.03
C1 → D → C2 → A → C1 → D → B,1,0.03
D → A → B → A,1,0.03
C1 → B → E → C1,1,0.03
A → E → B,1,0.03
E → A → C1 → B,1,0.03
B → C1 → B → C1 → B → A → E,1,0.03
B → C1 → C2,1,0.03
A → C1 → A → C1 → B → C2 → B → A,1,0.03
B → D → B → C2 → C1 → B → A → C1,1,0.03
E → B → E → D → E,1,0.03
C2 → D → A,1,0.03
E → B → E,1,0.03
C1 → A → C2 → C1 → B,1,0.03
A → C1 → A → C1 → B → A → B,1,0.03
C2 → A → E,1,0.03
C1 → B → A → B → A → C2 → C1 → B → A → C1 → A → C1 → A,1,0.03
B → C2 → A,1,0.03
B → C1 → B → C2 → A → B,1,0.03
A → B → C1 → B → A,1,0.03
C1 → B → D → A,1,0.03
C1 → B → A → B → C1 → B,1,0.03
B → A → B → A → C1 → A → C2 → C1 → B → C1 → B → C1,1,0.03
A → B → C1 → A → D,1,0.03
E → A → C1 → D,1,0.03
B → A → B → C1 → B,1,0.03
A → B → A → C1 → B → C1 → D → B,1,0.03
A → C1 → D → A,1,0.03
C2 → A → D → C1,1,0.03
D → A → C1 → A → D,1,0.03
C1 → B → C1 → B → C1,1,0.03
B → A → E,1,0.03
B → C1 → B → C1 → B → A → B → C1,1,0.03
A → D → C1 → A → B,1,0.03
C1 → A → B → C1 → B → C1 → B,1,0.03
D → C1 → E → C1,1,0.03
C1 → D → A → C1,1,0.03
C2 → A → D,1,0.03
C1 → C2 → D → C2,1,0.03
B → A → C1 → B → C1,1,0.03
C2 → C1 → B,1,0.03
D → A → D → C1,1,0.03
E → A → B → A,1,0.03
C1 → B → C1 → E → C1 → A,1,0.03
E → A → C2 → C1 → B,1,0.03
C1 → B → C1 → B → A → C1 → A → C1 → A,1,0.03
C1 → E → C1 → B,1,0.03
A → E → A → B → C1,1,0.03
C1 → A → C1 → B → C2 → A → C1 → E → C1 → C2,1,0.03
A → D → B → C1 → B,1,0.03
E → C1 → C2 → C1 → B → A → C1,1,0.03
C1 → E → B → C1,1,0.03
B → C1 → B → C2 → C1,1,0.03
A → C2 → C1 → A,1,0.03
C2 → D → E,1,0.03
B → C2 → B,1,0.03
D → B → E → D,1,0.03
C1 → B → C1 → C2,1,0.03
C2 → A → C1 → B → C1 → A,1,0.03
D → A → B → C1 → A → B → D → C2,1,0.03
C1 → B → C1 → D → C1 → D → C1 → A → C1,1,0.03
A → E → C1 → A → B,1,0.03
