company_id,log_content,log_date,stage,prev_stage,transition,prev_rank,curr_rank,time_gap_days,transition_type,time_gap_group
0000004899,"1.特助詢問系統更新是否有光纖速度要求。有提到硬體規劃資安防護會再請泓儒與特助聯繫。
2.內部上PASS單，請泓儒協助。",2025-08-11 23:15:17.337,C2,B,B → C2,2,4,,反向降級,
0000004899,"(內部案件討論) 1.與INFRA泓儒確認，若客戶要以目前的規劃先做版更，在硬體段只剩下一個遠端桌面的授權是必要項目，再搭個八類結束。2.聯繫工程師秉儒協助確認版評段沒有EF主機及DB狀態。詢問特助目前知道EF獨立主機，但是SQL還是應請工程確認，先約周三下午兩點連線確認。(之前禾家版評已WF主機為主)
[後續]我這邊後續要再與黃特助確認需求，是不是直接先版以及後續還有沒有資安段的規畫等。",2025-12-02 11:36:30.143,C1,A,A → C1,1,3,7.0,反向降級,<7天
0000004899,特助說，有收到顧問要安裝移動首頁的事宜，但擔心會影響M-CLOUD的使用。後續協助安裝的是后陞顧問，表示基本上並不影響，兩個產品線獨立。但顧問提到客戶對外IP那一段需要工程協助，與我事先了解的處理方式不太相同。他建議我在與純熾副理確認。特助那邊先回覆，等後續細節確認好在向他回報。[後續]1/9發信純熾副理詢問。,2026-01-09 17:50:53.283,C1,A,A → C1,1,3,9.0,反向降級,7-30天
0000004899,客戶外部資訊商洪先生一直沒有回覆環頸準備的信件，雅軒顧問需要確認實際完成時間，我這邊微信提醒洪先生務必回信。2.特助說本淵防火牆是NUSOFT MHG700，提供給工程士杰哥參考，後續可以協助移動首頁IP PORT的設定，,2026-01-13 17:27:15.787,C1,B,B → C1,2,3,1.0,反向降級,<7天
0000004899,1.EMAIL提供四月中年會活動資訊給黃特助。2.(內部)桂甄顧問昨協助特助輔導移動首頁花了一小時，之後的時間都是用來排除問題。(之前本淵有先買了八小時的輔導時數，預計八小時都會報銷)3.(內部)工程士杰哥昨日反映需再協助客戶安裝新的微軟授權環境，需要再做移機，今會協助客戶處理。,2026-04-05 00:38:56.993,E,C1,C1 → E,3,6,81.0,反向降級,30-90天
0000005162,"Q: MA即將到期A: 提供報價, 並邀約11/13 HR+AI活動。",2025-10-21 10:51:13.687,B,A,A → B,1,2,,反向降級,
0000005797,跟戴緯過去跟五位IPO key user說明T100，沒問題後後續提供重新輔導報價,2024-10-22 16:34:52.520,B,A,A → B,1,2,0.0,反向降級,
0000006244,"帶美惠demo CRM，之前曾用過睿揚的CRM系統但因為人員要二邊維護基本資料而作罷，而黃總要的是希望給員工好的工具讓他們人在外面就可以完成日報跟打報價單，手機上就能操作，而業務主管符小姐是希望日報、EXCEL這些(國內業務)能盡量簡化，他好管理跟追蹤，只是缺少一個系統化的平台去整理這盤資料。所以他們的重點三個：1、手機上可登打日報  2 手機、電腦可登打報價單，並看報價歷程，可查歷史價格 3、查帳款、單價等。
下週一提供報價。硬體、軟體維護。",2025-11-19 18:23:56.163,B,A,A → B,1,2,,反向降級,
0000011168,確認情境後，俊瑋說單純想了解，應收付，發票、支票 這段現在是手動人工建立，這塊我們系統可以做什麼支援，也想了解電子發票系統，有與俊瑋說明會再請經理協助對焦需求,2024-11-22 10:59:35.807,C1,A,A → C1,1,3,3.0,反向降級,<7天
0000011168,"目的:提供新年度MA、4月活動邀約。
俊瑋要求四月初安排前往討論MA，可簽長約期，但價格要降低，有說明會請學姊再與她聯繫拜訪時間，活動部分會再想一下，如果有空會再報名。",2025-03-25 17:18:46.653,B,A,A → B,1,2,119.0,反向降級,90-180天
0000017426,12484 今日到場找黃任佐協理做WF升級的費用提報，就目前WF與EF與HR需要進行升級至新版，以取得AI相關應用。說明報價結構，升級項、WF安心上線與EF+HR的差異輔導、客製跟修、以及可能還是需要的工程服務費等項目一一說明。另提到，他們WF目前沒有MA，要升級前提還是需要有MA才行。其表示大致了解報價結構了，明日會議上，會再與陳總說明。後續也遇到陳總，他拍拍我肩膀，我簡單跟他說今天來的目的，他說好，在等任佐協理跟他回報。在離開之前，任佐協理表示，過年前他要把ERP做移機，所以升級的事宜，應該要安排在過年後再來執行了。我請他屆時移機前跟我說一下，我需要做序號重查，不然會不能使用。在保持追蹤。,2026-01-08 14:41:25.370,B,A,A → B,1,2,,反向降級,
0000017426,12484 任佐協理與我聯繫，通知本周要對ERP主機移機，請我協助移機事宜。這邊請他幫我簽署重查序號單，並於移機日期確認時，通知我，在幫我立案客服需派人協助線上安裝序號。另追蹤相關系統升級的狀況，他說請我聯繫美儀副理。聯繫美儀副理，他表示任佐協理還沒跟她說，她在找他問一下。另外EF與HR的升級，上週五有跟陳總討論，陳總說應該沒有立即升級的必要。但美儀副理說，她還是想要一起處理，她在跟陳總溝通一下後，再跟我回覆。,2026-01-26 14:45:47.487,C1,B,B → C1,2,3,18.0,反向降級,7-30天
0000017426,12484 聯繫美儀副理，約周五下午過還拜訪，他表示當天下午有會議，沒辦法先給我時間，我表示沒問題，我當天下午人就在草屯芬園一帶，他時間可以打給我，我再過去，他表示好的。目的去做AI售服討論以及HR MA與升級的討論。,2026-03-18 16:26:33.503,C1,A,A → C1,1,3,43.0,反向降級,30-90天
0000029323,Q: 線下活動出席A: 當天有事就先離開了，窗口聽完覺得這對他們來說太遠了，暫時先不用往下評估。,2026-03-20 18:22:28.043,C1,B,B → C1,2,3,,反向降級,
